web-scraper-order,web-scraper-start-url,Links de cada linha,Links de cada linha-href,Nome da linha,Nome da rua
"1616976853-215","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","352 Curado II (Bacurau)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-352_CURADO_II_BACURAU-Recife-1662-774895-292748-0","352 Curado II (Bacurau)",""
"1616976412-37","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","2442 Jardim Primavera (Vale das Pedreiras) / TI Caxangá","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-2442_JARDIM_PRIMAVERA_VALE_DAS_PEDREIRAS_TI_CAXANG%C3%81-Recife-1662-774895-638318-0","2442 Jardim Primavera (Vale das Pedreiras) / TI Caxangá",""
"1616976546-91","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1950 Engenho Maranguape / Varadouro","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1950_ENGENHO_MARANGUAPE_VARADOURO-Recife-1662-774895-292951-0","1950 Engenho Maranguape / Varadouro",""
"1616976730-166","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","721 Água Fria (Circular)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-721_%C3%81GUA_FRIA_CIRCULAR-Recife-1662-774895-31940411-0","721 ÁGUA FRIA (CIRCULAR)",""
"1616977018-277","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","183 Ponte dos Carvalhos / TI Cajueiro Seco","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-183_PONTE_DOS_CARVALHOS_TI_CAJUEIRO_SECO-Recife-1662-774895-506337-0","183 Ponte dos Carvalhos / TI Cajueiro Seco",""
"1616976651-134","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","870 TI Xambá / TI Largo da Paz","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-870_TI_XAMB%C3%81_TI_LARGO_DA_PAZ-Recife-1662-774895-292874-0","870 TI Xambá / TI Largo da Paz",""
"1616977212-348","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","032 Setúbal (Conde da Boa Vista)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-032_SET%C3%9ABAL_CONDE_DA_BOA_VISTA-Recife-1662-774895-506327-0","032 Setúbal (Conde da Boa Vista)",""
"1616977157-326","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","104 Circular (IMIP)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-104_CIRCULAR_IMIP-Recife-1662-774895-582454-0","104 CIRCULAR (IMIP)",""
"1616976491-69","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1978 Loteamento Conceição / TI Rio Doce (PE-22)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1978_LOTEAMENTO_CONCEI%C3%87%C3%83O_TI_RIO_DOCE_PE_22-Recife-1662-774895-609761-0","1978 LOTEAMENTO CONCEIÇÃO / TI RIO DOCE (PE-22)",""
"1616976762-179","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","642 Guabiraba (Córrego do Jenipapo)","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-642_GUABIRABA_C%C3%93RREGO_DO_JENIPAPO-Recife-1662-774895-681889-0","642 Guabiraba (Córrego do Jenipapo)",""
"1616976982-262","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","208 Nossa Senhora da Conceição / TI Jaboatão","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-208_NOSSA_SENHORA_DA_CONCEI%C3%87%C3%83O_TI_JABOAT%C3%83O-Recife-1662-774895-638316-0","208 Nossa Senhora da Conceição / TI Jaboatão",""
"1616976489-68","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-lines-Recife-1662-774895","1980 Igarassu / Cidade Tabajara","https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-line-1980_IGARASSU_CIDADE_TABAJARA-Recife-1662-774895-292884-0","1980 Igarassu / Cidade Tabajara",""
